time	V(signal)	V(vout)
8.107949270647958e-06	-1.074839e-04	2.009369e-01
8.127480520647958e-06	-1.074839e-04	1.994562e-01
8.147011770647957e-06	-1.074839e-04	1.980418e-01
8.166543020647956e-06	-1.074839e-04	1.966910e-01
8.186074270647955e-06	-1.074839e-04	1.954012e-01
8.205605520647954e-06	-1.074839e-04	1.941696e-01
8.225136770647954e-06	-1.074839e-04	1.929939e-01
8.244668020647953e-06	-1.074839e-04	1.918716e-01
8.264199270647952e-06	-1.074839e-04	1.908005e-01
8.283730520647951e-06	-1.074839e-04	1.897784e-01
8.303261770647950e-06	-1.074839e-04	1.888031e-01
8.322793020647950e-06	-1.074839e-04	1.878726e-01
8.342324270647949e-06	-1.074839e-04	1.869850e-01
8.361855520647948e-06	-1.074839e-04	1.861384e-01
8.381386770647947e-06	-1.074839e-04	1.853311e-01
8.400918020647946e-06	-1.074839e-04	1.845612e-01
8.420449270647946e-06	-1.074839e-04	1.838272e-01
8.439980520647945e-06	-1.074839e-04	1.831275e-01
8.459511770647944e-06	-1.074839e-04	1.824605e-01
8.479043020647943e-06	-1.074839e-04	1.818248e-01
8.498574270647942e-06	-1.074839e-04	1.812191e-01
8.518105520647942e-06	-1.074839e-04	1.806419e-01
8.537636770647941e-06	-1.074839e-04	1.800919e-01
8.557168020647940e-06	-1.074839e-04	1.795681e-01
8.576699270647939e-06	-1.074839e-04	1.790691e-01
8.596230520647938e-06	-1.074839e-04	1.785940e-01
8.615761770647938e-06	-1.074839e-04	1.781415e-01
8.635293020647937e-06	-1.074839e-04	1.777106e-01
8.654824270647936e-06	-1.074839e-04	1.773005e-01
8.674355520647935e-06	-1.074839e-04	1.769100e-01
8.693886770647934e-06	-1.074839e-04	1.765384e-01
8.713418020647934e-06	-1.074839e-04	1.761848e-01
8.732949270647933e-06	-1.074839e-04	1.758483e-01
8.752480520647932e-06	-1.074839e-04	1.755281e-01
8.772011770647931e-06	-1.074839e-04	1.752236e-01
8.791543020647930e-06	-1.074839e-04	1.749339e-01
8.811074270647930e-06	-1.074839e-04	1.746583e-01
8.830605520647929e-06	-1.074839e-04	1.743963e-01
8.850136770647928e-06	-1.074839e-04	1.741471e-01
8.869668020647927e-06	-1.074839e-04	1.739103e-01
8.889199270647926e-06	-1.074839e-04	1.736851e-01
8.908730520647926e-06	-1.074839e-04	1.734711e-01
8.928261770647925e-06	-1.074839e-04	1.732677e-01
8.947793020647924e-06	-1.074839e-04	1.730744e-01
8.967324270647923e-06	-1.074839e-04	1.728908e-01
8.986855520647922e-06	-1.074839e-04	1.727163e-01
9.006386770647922e-06	-1.074839e-04	1.725506e-01
9.025918020647921e-06	-1.074839e-04	1.723932e-01
9.045449270647920e-06	-1.074839e-04	1.722437e-01
9.064980520647919e-06	-1.074839e-04	1.721017e-01
9.084511770647919e-06	-1.074839e-04	1.719670e-01
