time	V(signal)	V(vout)
1.169951690658037e-06	3.068655e-03	1.770783e-01
1.170202658349470e-06	3.073194e-03	1.771036e-01
1.170704593732335e-06	3.082270e-03	1.771544e-01
1.171708464498064e-06	3.100413e-03	1.772565e-01
1.171959432189497e-06	3.104946e-03	1.772823e-01
1.172461367572362e-06	3.114012e-03	1.773338e-01
1.173465238338092e-06	3.132134e-03	1.774375e-01
1.173716206029524e-06	3.136662e-03	1.774636e-01
1.174218141412389e-06	3.145717e-03	1.775159e-01
1.175222012178119e-06	3.163817e-03	1.776211e-01
1.175472979869551e-06	3.168340e-03	1.776476e-01
1.175974915252416e-06	3.177385e-03	1.777007e-01
1.176978786018146e-06	3.195465e-03	1.778075e-01
1.177229753709579e-06	3.199982e-03	1.778343e-01
1.177731689092444e-06	3.209016e-03	1.778882e-01
1.178735559858174e-06	3.227075e-03	1.779965e-01
1.178986527549606e-06	3.231588e-03	1.780238e-01
1.179488462932471e-06	3.240611e-03	1.780784e-01
1.180492333698201e-06	3.258649e-03	1.781884e-01
1.180743301389633e-06	3.263156e-03	1.782160e-01
1.181245236772498e-06	3.272169e-03	1.782714e-01
1.182249107538228e-06	3.290186e-03	1.783829e-01
1.182500075229661e-06	3.294688e-03	1.784109e-01
1.183002010612526e-06	3.303690e-03	1.784671e-01
1.184005881378255e-06	3.321686e-03	1.785802e-01
1.184256849069688e-06	3.326183e-03	1.786086e-01
1.184758784452553e-06	3.335175e-03	1.786656e-01
1.185762655218283e-06	3.353150e-03	1.787802e-01
1.186013622909715e-06	3.357642e-03	1.788090e-01
1.186515558292580e-06	3.366623e-03	1.788668e-01
1.187519429058310e-06	3.384577e-03	1.789830e-01
1.187770396749742e-06	3.389064e-03	1.790122e-01
1.188272332132607e-06	3.398035e-03	1.790708e-01
1.189276202898337e-06	3.415968e-03	1.791885e-01
1.189527170589770e-06	3.420449e-03	1.792181e-01
1.190029105972635e-06	3.429410e-03	1.792775e-01
1.191032976738364e-06	3.447323e-03	1.793969e-01
1.191283944429797e-06	3.451799e-03	1.794269e-01
1.191785879812662e-06	3.460749e-03	1.794870e-01
1.192789750578392e-06	3.478640e-03	1.796080e-01
1.193040718269824e-06	3.483111e-03	1.796384e-01
1.193542653652689e-06	3.492051e-03	1.796993e-01
1.194546524418419e-06	3.509922e-03	1.798218e-01
1.194797492109851e-06	3.514388e-03	1.798526e-01
1.195299427492716e-06	3.523317e-03	1.799144e-01
1.196303298258446e-06	3.541168e-03	1.800385e-01
1.196554265949879e-06	3.545628e-03	1.800697e-01
1.197056201332744e-06	3.554547e-03	1.801322e-01
1.198060072098474e-06	3.572376e-03	1.802580e-01
1.198311039789906e-06	3.576832e-03	1.802896e-01
1.198812975172771e-06	3.585740e-03	1.803529e-01
1.199816845938501e-06	3.603549e-03	1.804802e-01
1.200067813629933e-06	3.607999e-03	1.805122e-01
1.200569749012798e-06	3.616898e-03	1.805764e-01
1.201573619778528e-06	3.634686e-03	1.807053e-01
1.201824587469961e-06	3.639131e-03	1.807377e-01
1.202326522852826e-06	3.648019e-03	1.808026e-01
1.203330393618555e-06	3.665786e-03	1.809332e-01
1.203581361309988e-06	3.670226e-03	1.809660e-01
1.204083296692853e-06	3.679104e-03	1.810317e-01
1.205087167458583e-06	3.696851e-03	1.811639e-01
1.205338135150015e-06	3.701285e-03	1.811971e-01
1.205840070532880e-06	3.710153e-03	1.812636e-01
1.206843941298610e-06	3.727879e-03	1.813974e-01
1.207094908990042e-06	3.732309e-03	1.814310e-01
1.207596844372907e-06	3.741166e-03	1.814983e-01
1.208600715138637e-06	3.758872e-03	1.816337e-01
1.208851682830070e-06	3.763296e-03	1.816677e-01
1.209353618212935e-06	3.772143e-03	1.817359e-01
1.210357488978664e-06	3.789828e-03	1.818729e-01
1.210608456670097e-06	3.794247e-03	1.819073e-01
1.211110392052962e-06	3.803084e-03	1.819763e-01
1.212114262818692e-06	3.820749e-03	1.821149e-01
1.212365230510124e-06	3.825163e-03	1.821497e-01
1.212867165892989e-06	3.833989e-03	1.822195e-01
1.213871036658719e-06	3.851633e-03	1.823597e-01
1.214122004350151e-06	3.856042e-03	1.823950e-01
1.214623939733016e-06	3.864858e-03	1.824655e-01
1.215627810498746e-06	3.882482e-03	1.826074e-01
1.215878778190179e-06	3.886886e-03	1.826430e-01
1.216380713573044e-06	3.895692e-03	1.827144e-01
1.217384584338774e-06	3.913295e-03	1.828579e-01
1.217635552030206e-06	3.917694e-03	1.828940e-01
1.218137487413071e-06	3.926490e-03	1.829662e-01
1.219141358178801e-06	3.944072e-03	1.831113e-01
1.219392325870233e-06	3.948466e-03	1.831478e-01
1.219894261253098e-06	3.957252e-03	1.832208e-01
1.220898132018828e-06	3.974814e-03	1.833675e-01
1.221149099710261e-06	3.979202e-03	1.834044e-01
1.221651035093126e-06	3.987978e-03	1.834782e-01
1.222654905858855e-06	4.005520e-03	1.836266e-01
1.222905873550288e-06	4.009903e-03	1.836639e-01
1.223407808933153e-06	4.018669e-03	1.837385e-01
1.224411679698883e-06	4.036190e-03	1.838886e-01
1.224662647390315e-06	4.040569e-03	1.839263e-01
1.225164582773180e-06	4.049324e-03	1.840017e-01
1.226168453538910e-06	4.066825e-03	1.841534e-01
1.226419421230342e-06	4.071198e-03	1.841915e-01
1.226921356613207e-06	4.079944e-03	1.842678e-01
1.227925227378937e-06	4.097424e-03	1.844211e-01
1.228176195070370e-06	4.101793e-03	1.844596e-01
1.228678130453235e-06	4.110527e-03	1.845367e-01
1.229682001218964e-06	4.127988e-03	1.846916e-01
1.229932968910397e-06	4.132351e-03	1.847305e-01
1.230434904293262e-06	4.141076e-03	1.848084e-01
1.231438775058992e-06	4.158517e-03	1.849650e-01
1.231689742750424e-06	4.162875e-03	1.850043e-01
1.232191678133289e-06	4.171589e-03	1.850831e-01
1.233195548899019e-06	4.189010e-03	1.852413e-01
1.233446516590452e-06	4.193363e-03	1.852811e-01
1.233948451973317e-06	4.202067e-03	1.853606e-01
1.234952322739046e-06	4.219467e-03	1.855205e-01
1.235203290430479e-06	4.223815e-03	1.855606e-01
