time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
6.081786979387551e-07	2.449858e+00
6.083007682512552e-07	2.449695e+00
6.083312858293802e-07	2.449654e+00
6.083923209856302e-07	2.449573e+00
6.085143912981302e-07	2.449410e+00
6.087585319231302e-07	2.449087e+00
6.092468131731302e-07	2.448438e+00
6.093688834856302e-07	2.448274e+00
6.096130241106302e-07	2.447945e+00
6.101013053606302e-07	2.447278e+00
6.110778678606302e-07	2.445940e+00
6.130309928606302e-07	2.443251e+00
6.149841178606303e-07	2.440542e+00
6.169372428606303e-07	2.437822e+00
6.188903678606304e-07	2.435099e+00
6.208434928606304e-07	2.432353e+00
6.210876334856305e-07	2.432017e+00
6.215759147356304e-07	2.431332e+00
6.225524772356304e-07	2.429968e+00
6.245056022356305e-07	2.427214e+00
6.247497428606305e-07	2.426869e+00
6.252380241106305e-07	2.426179e+00
6.262145866106305e-07	2.424802e+00
6.281677116106306e-07	2.422026e+00
6.301208366106306e-07	2.419231e+00
6.320739616106306e-07	2.416431e+00
6.340270866106307e-07	2.413624e+00
6.359802116106307e-07	2.410809e+00
6.379333366106308e-07	2.407986e+00
6.398864616106308e-07	2.405153e+00
6.418395866106309e-07	2.402317e+00
6.437927116106309e-07	2.399471e+00
6.457458366106310e-07	2.396620e+00
6.459899772356310e-07	2.396269e+00
6.464782584856310e-07	2.395554e+00
6.474548209856310e-07	2.394136e+00
6.494079459856310e-07	2.391277e+00
6.513610709856311e-07	2.388397e+00
6.516052116106311e-07	2.388045e+00
6.520934928606311e-07	2.387326e+00
6.530700553606311e-07	2.385900e+00
6.550231803606312e-07	2.383021e+00
6.569763053606312e-07	2.380126e+00
6.589294303606312e-07	2.377233e+00
6.608825553606313e-07	2.374338e+00
6.628356803606313e-07	2.371434e+00
6.647888053606314e-07	2.368533e+00
6.667419303606314e-07	2.365623e+00
6.667724479387565e-07	2.365588e+00
6.667800773332877e-07	2.365576e+00
6.667953361223502e-07	2.365552e+00
6.668258537004753e-07	2.365506e+00
6.668868888567252e-07	2.365413e+00
6.669021476457877e-07	2.365390e+00
6.669326652239128e-07	2.365344e+00
6.669937003801627e-07	2.365253e+00
6.670089591692252e-07	2.365230e+00
6.670394767473503e-07	2.365185e+00
6.671005119036002e-07	2.365094e+00
6.671157706926627e-07	2.365072e+00
6.671462882707878e-07	2.365026e+00
6.672073234270377e-07	2.364936e+00
6.672225822161002e-07	2.364913e+00
6.672530997942253e-07	2.364868e+00
6.673141349504752e-07	2.364778e+00
6.673293937395377e-07	2.364756e+00
6.673599113176628e-07	2.364711e+00
6.674209464739127e-07	2.364621e+00
6.675430167864127e-07	2.364440e+00
6.675735343645378e-07	2.364396e+00
6.676345695207877e-07	2.364306e+00
6.676498283098502e-07	2.364283e+00
6.676803458879753e-07	2.364238e+00
6.677413810442252e-07	2.364149e+00
6.677566398332877e-07	2.364126e+00
6.677871574114128e-07	2.364081e+00
6.678481925676627e-07	2.363992e+00
6.678634513567253e-07	2.363969e+00
6.678939689348503e-07	2.363925e+00
6.679550040911002e-07	2.363835e+00
6.680770744036003e-07	2.363656e+00
6.681075919817253e-07	2.363611e+00
6.681686271379752e-07	2.363521e+00
6.681838859270378e-07	2.363499e+00
6.682144035051628e-07	2.363454e+00
6.682754386614127e-07	2.363365e+00
6.682906974504753e-07	2.363342e+00
6.683212150286003e-07	2.363298e+00
6.683822501848502e-07	2.363208e+00
6.683975089739128e-07	2.363186e+00
6.684280265520378e-07	2.363141e+00
6.684890617082877e-07	2.363052e+00
