time	V(vout)	V(vout2)
6.978515169377142e-09	1.259289e-01	1.641365e+00
7.025390166316703e-09	1.259290e-01	1.641356e+00
7.037108915551593e-09	1.259290e-01	1.641353e+00
7.060546414021374e-09	1.259290e-01	1.641349e+00
7.107421410960935e-09	1.259290e-01	1.641340e+00
7.119140160195825e-09	1.259290e-01	1.641337e+00
7.142577658665605e-09	1.259290e-01	1.641333e+00
7.189452655605166e-09	1.259291e-01	1.641324e+00
7.201171404840057e-09	1.259291e-01	1.641321e+00
7.224608903309837e-09	1.259291e-01	1.641317e+00
7.271483900249398e-09	1.259291e-01	1.641308e+00
7.283202649484288e-09	1.259291e-01	1.641305e+00
7.306640147954069e-09	1.259292e-01	1.641301e+00
7.353515144893630e-09	1.259292e-01	1.641292e+00
7.365233894128520e-09	1.259292e-01	1.641290e+00
7.388671392598301e-09	1.259292e-01	1.641286e+00
7.435546389537862e-09	1.259293e-01	1.641277e+00
7.447265138772752e-09	1.259293e-01	1.641274e+00
7.470702637242532e-09	1.259293e-01	1.641270e+00
7.517577634182093e-09	1.259293e-01	1.641261e+00
7.529296383416983e-09	1.259293e-01	1.641259e+00
7.552733881886764e-09	1.259294e-01	1.641255e+00
7.599608878826325e-09	1.259294e-01	1.641246e+00
7.611327628061215e-09	1.259294e-01	1.641244e+00
7.634765126530996e-09	1.259294e-01	1.641240e+00
7.681640123470557e-09	1.259294e-01	1.641232e+00
7.693358872705447e-09	1.259295e-01	1.641230e+00
7.716796371175227e-09	1.259295e-01	1.641225e+00
7.763671368114788e-09	1.259295e-01	1.641217e+00
7.775390117349679e-09	1.259295e-01	1.641215e+00
7.798827615819459e-09	1.259295e-01	1.641211e+00
7.845702612759020e-09	1.259296e-01	1.641202e+00
7.857421361993910e-09	1.259296e-01	1.641200e+00
7.880858860463691e-09	1.259296e-01	1.641196e+00
7.927733857403252e-09	1.259296e-01	1.641188e+00
7.939452606638142e-09	1.259297e-01	1.641186e+00
7.962890105107923e-09	1.259297e-01	1.641182e+00
8.009765102047484e-09	1.259297e-01	1.641174e+00
8.021483851282374e-09	1.259297e-01	1.641172e+00
8.044921349752154e-09	1.259297e-01	1.641168e+00
8.091796346691715e-09	1.259298e-01	1.641160e+00
8.103515095926606e-09	1.259298e-01	1.641158e+00
8.126952594396386e-09	1.259298e-01	1.641154e+00
8.173827591335947e-09	1.259298e-01	1.641147e+00
8.185546340570837e-09	1.259298e-01	1.641145e+00
8.208983839040618e-09	1.259298e-01	1.641141e+00
8.255858835980179e-09	1.259299e-01	1.641133e+00
8.267577585215069e-09	1.259299e-01	1.641131e+00
8.291015083684850e-09	1.259299e-01	1.641127e+00
8.337890080624411e-09	1.259300e-01	1.641120e+00
8.349608829859301e-09	1.259300e-01	1.641118e+00
8.373046328329081e-09	1.259300e-01	1.641114e+00
8.419921325268642e-09	1.259300e-01	1.641107e+00
8.431640074503532e-09	1.259300e-01	1.641105e+00
8.455077572973313e-09	1.259300e-01	1.641101e+00
8.501952569912874e-09	1.259301e-01	1.641094e+00
8.513671319147764e-09	1.259301e-01	1.641092e+00
8.537108817617545e-09	1.259301e-01	1.641088e+00
8.583983814557106e-09	1.259301e-01	1.641081e+00
8.595702563791996e-09	1.259302e-01	1.641079e+00
8.619140062261776e-09	1.259302e-01	1.641075e+00
8.666015059201337e-09	1.259302e-01	1.641068e+00
8.677733808436228e-09	1.259302e-01	1.641067e+00
8.701171306906008e-09	1.259302e-01	1.641063e+00
8.748046303845569e-09	1.259303e-01	1.641056e+00
8.759765053080459e-09	1.259303e-01	1.641054e+00
8.783202551550240e-09	1.259303e-01	1.641051e+00
8.830077548489801e-09	1.259303e-01	1.641044e+00
8.841796297724691e-09	1.259304e-01	1.641042e+00
8.865233796194472e-09	1.259304e-01	1.641039e+00
8.912108793134033e-09	1.259304e-01	1.641032e+00
8.923827542368923e-09	1.259304e-01	1.641030e+00
8.947265040838703e-09	1.259304e-01	1.641027e+00
8.994140037778264e-09	1.259305e-01	1.641020e+00
9.005858787013155e-09	1.259305e-01	1.641018e+00
9.029296285482935e-09	1.259305e-01	1.641015e+00
9.076171282422496e-09	1.259305e-01	1.641008e+00
9.087890031657386e-09	1.259305e-01	1.641007e+00
9.111327530127167e-09	1.259306e-01	1.641003e+00
9.158202527066728e-09	1.259306e-01	1.640997e+00
9.169921276301618e-09	1.259306e-01	1.640995e+00
9.193358774771399e-09	1.259306e-01	1.640992e+00
9.240233771710959e-09	1.259307e-01	1.640985e+00
9.251952520945850e-09	1.259307e-01	1.640984e+00
9.275390019415630e-09	1.259307e-01	1.640981e+00
9.322265016355191e-09	1.259307e-01	1.640974e+00
9.333983765590081e-09	1.259307e-01	1.640973e+00
9.357421264059862e-09	1.259308e-01	1.640970e+00
9.404296260999423e-09	1.259308e-01	1.640963e+00
9.416015010234313e-09	1.259308e-01	1.640962e+00
9.439452508704094e-09	1.259308e-01	1.640959e+00
9.486327505643655e-09	1.259309e-01	1.640953e+00
9.498046254878545e-09	1.259309e-01	1.640951e+00
9.521483753348325e-09	1.259309e-01	1.640948e+00
9.568358750287886e-09	1.259309e-01	1.640942e+00
9.580077499522777e-09	1.259309e-01	1.640941e+00
9.603514997992557e-09	1.259310e-01	1.640938e+00
9.650389994932118e-09	1.259310e-01	1.640932e+00
9.662108744167008e-09	1.259310e-01	1.640930e+00
9.685546242636789e-09	1.259310e-01	1.640927e+00
9.732421239576350e-09	1.259311e-01	1.640921e+00
9.744139988811240e-09	1.259311e-01	1.640920e+00
9.767577487281021e-09	1.259311e-01	1.640917e+00
9.814452484220582e-09	1.259311e-01	1.640911e+00
9.826171233455472e-09	1.259311e-01	1.640910e+00
9.849608731925252e-09	1.259312e-01	1.640907e+00
9.896483728864813e-09	1.259312e-01	1.640901e+00
9.908202478099704e-09	1.259312e-01	1.640900e+00
9.931639976569484e-09	1.259312e-01	1.640897e+00
9.937499351186929e-09	1.259312e-01	1.640896e+00
9.949218100421819e-09	1.259312e-01	1.640895e+00
9.972655598891600e-09	1.259312e-01	1.640892e+00
1.001953059583116e-08	1.259313e-01	1.640887e+00
1.003124934506605e-08	1.259313e-01	1.640885e+00
1.005468684353583e-08	1.259313e-01	1.640882e+00
1.010156184047539e-08	1.259314e-01	1.640877e+00
1.011328058971028e-08	1.259314e-01	1.640875e+00
1.013671808818006e-08	1.259314e-01	1.640873e+00
1.018359308511962e-08	1.259314e-01	1.640867e+00
1.019531183435451e-08	1.259314e-01	1.640866e+00
1.021874933282430e-08	1.259315e-01	1.640863e+00
1.026562432976386e-08	1.259315e-01	1.640858e+00
1.027734307899875e-08	1.259315e-01	1.640856e+00
